Registry,Assignment,Organization Name,Organization Address
OpID,00003F,Kyocera Communication Systems,"Century Mita Bldg., 3-11-34  Mita Minato-ku Tokyo JP 108-8605 "
OpID,000040,YTL Communications SDN BHD,"8th Floor, One Oriental Place  Kuala Lumpur MY 50100 "
OpID,00003D,"Yota de Nicaragua, S.A.","Edificio Discover, Villa Fontana Managua  NI 2186 "
OpID,000078,Nokia Siemens Networks.,Trilogy Building Swinden  GB SN28UY 
OpID,000071,Alcatel-Lucent,3400 W Plano Pkwy Plano TX US 75075 
OpID,00005E,MTN Côte d'Ivoire,12 Avenue Crossons Duplessis   AZ 3865 
OpID,000065,Smart Communications,"Smart Tower, 6799 Ayala Avenue Makati City  PH  "
OpID,00006D,Digicel Cayman,36C Dr.Roys Drive   KY  
OpID,00005A,Wind Telecom,27 de Febrero esq Isabel Aquier Santo Domingo  DO  
OpID,000074,Zain Bahrain,"A1-Afoo Building, Road 2811 Manama  BH  "
OpID,00005B,Banglalion Communications Ltd.,Silver Tower (18th Flr) 52 Gulshan Avenue Dhaka  BD 1212 
OpID,00005C,Altitude Infrastructure,9200  Voie  Des Clouets Val De Reuil  FR 27100 
OpID,00005D,Yota Bel LLC,"Myasnikova 70, Office 318 Minsk Republic of  BY 220030 "
OpID,00002A,Axione,132 Boulevard Camelinat Malakoff  FR 92 240 
OpID,00002B,Connecteo Cameroun,"Carrefour Regie, Mballa II Yaounde BP 13386 CM  "
OpID,000028,Aria S.p.A.,"Via dei Mastri, 1 Torgiano (PG)  IT I-06089 "
OpID,000029,JSC COMSTAR - United TeleSystems,12/3 Petrovsky Boulevard Moscow  RU 127051 
OpID,00003E,Sioux Valley Wireless,P O Box 20 Colman SD US 57017 
OpID,00003C,KDDI Corporation,"Garden Air Tower, 3-10-10 Chiyoda-ku Tokyo JP 102-8460 "
OpID,000033,"Time Warner Cable, LLC",13241 Woodland Park Road Herndon VA US 20171 
OpID,000034,"Time Warner Cable, LLC",13241 Woodland Park Road Herndon VA US 20171 
OpID,000035,Burco Electronic Systems Ltd,P O Box 934 Blantyre  MW  
OpID,000036,Soma Networks,"650 Townsend Street, Suite 305 San Francisco CA US 94103 "
OpID,000032,InterProekt,"115054, Valovaya Line Moscow  RU  "
OpID,00002C,SC Lithuanian Radio & TV Center,Sausio 13-osios 10 Vilnius LT LT 04347 
OpID,000096,Núcleo Operacional para a Sociedade de Informação,"Av. Cidade de Lisboa - Edifício  Fenícia, Várzea, C.P. 620 Praia Santiago CV  "
OpID,000092,"ZAPP.pt (registered as ""mobiZAPP -Com. Electronics SA"")","Sintra Business Park, Edificio 9 Sintra  PT 2710-089 "
OpID,00008F,Spectranet Ltd.,"9B, Kwara Street, Osborne Estate Lagos  NG  "
OpID,00008B,Access Telecom (BD) LTD,Suite 901 Concord Tower Dhaka  BD 1215 
OpID,000083,"Barrett Xplore, Inc.",300 Lockhart Mill Road Woodstock  CA E7M 5C3 
OpID,00007F,"Full Stream, LLC.",P O Box 36 Rocheport 65279 US MO 
OpID,000020,Linkem Spa,V. LE Citta D'Europa 681 Rome  IT 00144 
OpID,000021,Grid Net,340 Brannan Street Suite 501 San Francisco CA US 94107 
OpID,000022,Mandarin WiMax Sicilia SpA,"Via Anzalone,12  Acireale (CT)  IT 95024 "
OpID,00001F,Freedom4 Ltd,"5, Roundwood Avenue, Stockley Park Uxbridge  GB UB11 1FF "
OpID,00001E,DBD Deutsche Breitband Dienste GmbH,Vangerowstraße 18 Heidelberg  DE D-69115 
OpID,000007,Clearwire Corporation,1475 120th Ave NE Bellevue WA US 98005 
OpID,000003,Société du Haut Débit (SHD),Tour Sequoia- La Defense 6  Paris La Defense Cedex FR 92915 
OpID,000107,Wisper ISP,3680 Lebanon Ave Belleville IL US 62221 
OpID,000103,Siportal srl,Via Toledo 5 Lentini SR IT 96016 
OpID,0000AD,Jolt Mobile,700 S Flower Street Los Angeles CA US 90017 
OpID,0000A9,Telefonica Celular del Paragua S.A.,Zavalas Cue Ave and Artilleria Street   PY  
OpID,00009C,New Generation Graphics Limited,"Floor #7, Plot #19 and 20, Road No 113/A,  Guishan-2 Dhaka BD 1212 "
OpID,000099," Heartnetwork Co., Ltd. ","2F, Niihama Telcom Bldg, 2-3-17  Sakai-cho  JP  "
OpID,000095,SkyOnline de Argentina S.A.,Av. Roque Sáenz Peña 1155 2do Piso Buenos Aires Capital Federal AR C1035AAG 
OpID,00008D,Cablevision S.A.,Hornos 690 3rd Floor Buenos Aires  AR C1272ACL 
OpID,000086,4G Africa AG,Seestrasse 127 Kuesnacht  CH 8700 
OpID,000089,Al Sard Trading Agencies Co. Limited ,"Haji Mohamed Bamoki Building, Salim Street Sulaimanya  IQ  "
OpID,00007D,"Rocky Mountain Broadband, LLC",3306 Paces Ferry Avenue Atlanta GA US 30339 
OpID,00007B,"Mobitel Limited, Nigeria","6, Adeola Odeku Street Victoria Island  NG  "
OpID,000068,Open Joint Stock Company Soyuz-Telecom,24 Zoologicheskaya Street Moscow  RU 123242 
OpID,00006F,2K Telecom,Sos. Pipera-Tunari Voluntari Ilfov RO  
OpID,00006B,Itochu Techno-Solution Corporation,Art Village Osaki Central Tower Shinagawa-ku Tokyo JP  
